Alt,u,v,temp,bv2
12167,0.125188917067074,2.06563387648301,-746.847160731504,0.00215846629470663
12172,0.1171016340727,2.06304891566444,-768.090134744978,0.00215452516477376
12176,0.10894309881569,2.06088974157783,-761.983108758453,0.000411700898976802
12181,0.100752236664203,2.05901429700262,-755.849759384055,0.000411844878432949
12185,0.092656903497474,2.05715058191186,-749.716410009656,0.00215656802318294
12190,0.204519517732606,1.65031562330224,-770.959384023128,0.00215263764918953
12194,0.292550354159708,1.67601564379317,-764.852358036604,0.000275189035931378
12199,0.284645611415719,1.67417871443951,-758.745332050079,0.000413116821471033
12204,0.27674086867173,1.67234178508584,-752.638306063553,0.00215418158182341
12208,0.268836125927741,1.67050485573217,-773.907603464901,0.00215107091909229
12213,0.261026912168514,1.66867965586295,-767.826900866248,0.000413872031278046
12217,0.253217698409284,1.66685445599373,-761.746198267594,0.000414338243920719
12222,0.245408484650053,1.66502925612451,-755.691819056814,0.000414484074269633
12226,0.237789861313562,1.66323084199238,-749.637439846036,0.00215303096228926
12231,0.230171237977068,1.66143242786026,-770.933060635256,0.00214912156893078
12235,0.222552614640577,1.65963401372813,-764.90500481235,0.000276956554864257
12240,0.328367887812057,1.24916237871863,-758.876948989444,0.000415772396843853
12244,0.320844793460321,1.24737569407096,-752.848893166536,0.00041591923864708
12249,0.313321699108588,1.24558900942328,-746.82083734363,0.000416390077539138
12253,0.305989195179588,1.2438291105127,-740.819104908596,0.00041653735604723
12258,0.298656691250589,1.24206921160212,-734.817372473563,0.00215201507417288
12262,0.291324187321592,1.24030931269154,-756.165640038531,0.00214811488207435
12267,0.380584733568281,1.26442799152301,-750.190230991369,0.000278331711872966
12271,0.373189383357634,1.26308840856227,-744.214821944208,0.000417838494525279
12276,0.365698723419492,1.26173543069287,-738.239412897046,0.00041798679961763
12280,0.358303592466108,1.26039418230792,-732.290327237759,0.00041846233396172
12285,0.447405734414129,1.28492144352456,-726.341241578471,0.00215030653528804
12289,0.439819984005741,1.28355340532229,-747.715832531312,0.00200745131758684
12294,0.539296783277091,0.868205204300122,-741.766746872025,0.00041929702335352
12298,0.531711252125959,0.866835500673642,-735.817661212737,0.000419446365801296
12303,0.621155293602428,0.889657986607128,-729.86857555345,0.000419925228879302
12307,0.613474452723796,0.888274888071989,-723.945813282035,0.0021487171973595
12312,0.605793831102417,0.886890124112639,-745.37305101062,0.00214566078624538
12316,0.59814743795754,0.885204940670637,-739.450288739205,0.000420705559926677
12321,0.687435307712761,0.907698551879943,-733.553849855663,0.000280701086064337
12325,0.679636159439063,0.90643631467263,-727.657410972122,0.000421398387897547
12330,0.671837201323569,0.905172408468193,-721.760972088581,0.00214714889152877
12334,0.66394271422331,0.903896772779309,-743.240856592913,0.00214410569296765
12339,0.75307779975066,0.926813326650391,-737.370741097244,0.000422184208703614
12343,0.745183502808608,0.92553602196438,-731.526948989447,0.000281688477062948
12348,0.737289205866556,0.924258717278369,-725.683156881652,0.00214569740698496
12352,0.826328952567341,0.947161872667879,-747.189364773856,0.00214183745624862
12357,0.818339126640531,0.94587283849742,-741.371896053934,0.000423520921090149
12361,0.907283344356561,0.968764264402483,-735.554427334011,0.000423673288121649
12366,0.99622756207259,0.991655690307546,-729.736958614089,0.000424161856827727
12371,0.98804648801806,0.99034486616532,-723.945813282038,0.00214386122939083
12375,1.07679945760637,1.01321450209861,-745.50466794999,0.00199915053422864
12380,1.06852285456708,1.01189194847194,-739.713522617942,0.000425019461568724
12384,1.15718029517064,1.03474985492079,-733.948700673764,0.000425172908941242
12389,1.14880816314659,1.03341557180967,-728.183878729586,0.00214244930340234
12394,1.23746560375014,1.05627347825851,-749.795380173284,0.00213860944088008
12398,1.22899794274134,1.05492746566294,-744.05688161698,0.000426312390866813
12403,1.31750851164537,1.07822427185132,-738.318383060676,0.000426466773418052
12407,1.40601908054942,1.1015210780397,-732.606207892244,0.00199808378474194
12412,1.39740435768289,1.10061563418079,-754.244032723813,0.00213722706501405
12417,1.48572348830101,1.12389231939452,-748.558180943255,0.0004273337335442
12421,1.47701304629153,1.12297681504829,-742.872329162697,0.000427830785929447
12426,1.56523645776669,1.1462434397747,-737.18647738214,0.00213853209148044
12430,1.44365264847499,1.58156475159741,-758.876948989455,0.00213555324922756
12435,1.53130912233199,1.60681145026944,-753.217420596769,0.000428640803081048
12440,1.52237301356008,1.60617624443121,-747.557892204086,0.000286000036477117
12444,1.51343690478818,1.60554103859299,-741.924687199273,0.00213717594863943
12449,1.50463074363573,1.60461547375944,-763.64148219446,0.00213336663334195
12453,1.49592030162625,1.6036999694132,-758.034600577523,0.000430018780355717
